A股代码,B股代码,证券简称,扩位证券简称,上市日期
600420,-,XD国药现,XD国药现代,20040616
600421,-,华嵘控股,华嵘控股,20040607
600422,-,昆药集团,昆药集团,20001206
600423,-,柳化股份,柳化股份,20030717
600425,-,青松建化,青松建化,20030724
600426,-,华鲁恒升,华鲁恒升,20020620
600428,-,中远海特,中远海特,20020418
600429,-,三元股份,三元股份,20030915
600433,-,冠豪高新,冠豪高新,20030619
600435,-,北方导航,北方导航,20030704
600436,-,片仔癀,片仔癀,20030616
600438,-,通威股份,通威股份,20040302
600439,-,瑞贝卡,瑞贝卡,20030710
600444,-,国机通用,国机通用,20040219
600446,-,金证股份,金证股份,20031224
600448,-,华纺股份,华纺股份,20010903
600449,-,宁夏建材,宁夏建材,20030829
600452,-,涪陵电力,涪陵电力,20040303
600455,-,博通股份,博通股份,20040329
600456,-,宝钛股份,宝钛股份,20020412
600458,-,时代新材,时代新材,20021219
600459,-,贵研铂业,贵研铂业,20030516
600460,-,士兰微,士兰微,20030311
600461,-,洪城环境,洪城环境,20040601
600462,-,ST九有,ST九有,20030903
600463,-,空港股份,空港股份,20040318
600466,-,蓝光发展,蓝光发展,20010212
600467,-,好当家,好当家,20040405
600468,-,百利电气,百利电气,20010615
600469,-,风神股份,风神股份,20031021
600470,-,六国化工,六国化工,20040305
600475,-,华光环能,华光环能,20030721
600476,-,湘邮科技,湘邮科技,20031210
600477,-,杭萧钢构,杭萧钢构,20031110
600478,-,科力远,科力远,20030918
600479,-,千金药业,千金药业,20040312
600480,-,凌云股份,凌云股份,20030815
600481,-,双良节能,双良节能,20030422
600482,-,中国动力,中国动力,20040714
600483,-,福能股份,福能股份,20040531
600486,-,扬农化工,扬农化工,20020425
600487,-,亨通光电,亨通光电,20030822
600488,-,天药股份,天药股份,20010618
600489,-,中金黄金,中金黄金,20030814
600490,-,鹏欣资源,鹏欣资源,20030626
600491,-,龙元建设,龙元建设,20040524
600493,-,凤竹纺织,凤竹纺织,20040421
600495,-,晋西车轴,晋西车轴,20040526
600496,-,精工钢构,精工钢构,20020605
600497,-,驰宏锌锗,驰宏锌锗,20040420
600498,-,烽火通信,烽火通信,20010823
